INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
12;19.10.2020 0:00:00;2;610000;25571
13;19.10.2020 0:00:00;2;610000;25825
14;19.10.2020 0:00:00;2;610000;26094
15;19.10.2020 0:00:00;2;610000;25639
16;19.10.2020 0:00:00;2;610000;25149
17;19.10.2020 0:00:00;2;610000;24809
18;19.10.2020 0:00:00;2;610000;23904
19;19.10.2020 0:00:00;2;610000;23171
20;19.10.2020 0:00:00;2;610000;22766
21;19.10.2020 0:00:00;2;610000;22403
22;19.10.2020 0:00:00;2;610000;22490
23;19.10.2020 0:00:00;2;610000;22274
0;20.10.2020 0:00:00;2;610000;22491
1;20.10.2020 0:00:00;2;610000;23429
2;20.10.2020 0:00:00;2;610000;24309
3;20.10.2020 0:00:00;2;610000;24760
4;20.10.2020 0:00:00;2;610000;25281
5;20.10.2020 0:00:00;2;610000;25487
6;20.10.2020 0:00:00;2;610000;25347
7;20.10.2020 0:00:00;2;610000;25166
8;20.10.2020 0:00:00;2;610000;25068
9;20.10.2020 0:00:00;2;610000;25233
10;20.10.2020 0:00:00;2;610000;25318
11;20.10.2020 0:00:00;2;610000;24980
12;20.10.2020 0:00:00;2;610000;25130
13;20.10.2020 0:00:00;2;610000;25774
14;20.10.2020 0:00:00;2;610000;25871
15;20.10.2020 0:00:00;2;610000;25438
16;20.10.2020 0:00:00;2;610000;25345
17;20.10.2020 0:00:00;2;610000;24733
18;20.10.2020 0:00:00;2;610000;23787
19;20.10.2020 0:00:00;2;610000;23089
20;20.10.2020 0:00:00;2;610000;22801
21;20.10.2020 0:00:00;2;610000;22404
22;20.10.2020 0:00:00;2;610000;22538
23;20.10.2020 0:00:00;2;610000;22415
0;21.10.2020 0:00:00;2;610000;22500
1;21.10.2020 0:00:00;2;610000;22951
2;21.10.2020 0:00:00;2;610000;24128
3;21.10.2020 0:00:00;2;610000;24684
4;21.10.2020 0:00:00;2;610000;25040
5;21.10.2020 0:00:00;2;610000;25325
6;21.10.2020 0:00:00;2;610000;25076
7;21.10.2020 0:00:00;2;610000;24911
8;21.10.2020 0:00:00;2;610000;24963
9;21.10.2020 0:00:00;2;610000;24755
10;21.10.2020 0:00:00;2;610000;24792
11;21.10.2020 0:00:00;2;610000;24658
12;21.10.2020 0:00:00;2;610000;24593
13;21.10.2020 0:00:00;2;610000;25021
14;21.10.2020 0:00:00;2;610000;25307
15;21.10.2020 0:00:00;2;610000;25071
16;21.10.2020 0:00:00;2;610000;24881
17;21.10.2020 0:00:00;2;610000;24333
18;21.10.2020 0:00:00;2;610000;23457
19;21.10.2020 0:00:00;2;610000;22800
20;21.10.2020 0:00:00;2;610000;22508
21;21.10.2020 0:00:00;2;610000;22275
22;21.10.2020 0:00:00;2;610000;22079
23;21.10.2020 0:00:00;2;610000;22049
0;22.10.2020 0:00:00;2;610000;22278
1;22.10.2020 0:00:00;2;610000;22865
2;22.10.2020 0:00:00;2;610000;23799
3;22.10.2020 0:00:00;2;610000;24467
4;22.10.2020 0:00:00;2;610000;25015
5;22.10.2020 0:00:00;2;610000;25099
6;22.10.2020 0:00:00;2;610000;24943
7;22.10.2020 0:00:00;2;610000;24756
8;22.10.2020 0:00:00;2;610000;24651
9;22.10.2020 0:00:00;2;610000;24704
10;22.10.2020 0:00:00;2;610000;24552
11;22.10.2020 0:00:00;2;610000;24423
12;22.10.2020 0:00:00;2;610000;25129
13;22.10.2020 0:00:00;2;610000;25365
14;22.10.2020 0:00:00;2;610000;25546
15;22.10.2020 0:00:00;2;610000;25135
16;22.10.2020 0:00:00;2;610000;24992
17;22.10.2020 0:00:00;2;610000;24507
18;22.10.2020 0:00:00;2;610000;23545
19;22.10.2020 0:00:00;2;610000;22796
20;22.10.2020 0:00:00;2;610000;22271
21;22.10.2020 0:00:00;2;610000;22102
