YEAR,REGION,INDICATOR
2000,Калужская область,74.41
2000,Камчатский край,80.85
2000,Карачаево-Черкесия,43.78
2000,Карелия,74.26
2000,Кемеровская область,86.48
2000,Кировская область,70.89
2000,Костромская область,66.56
2000,Краснодарский край,53.71
2000,Красноярский край,75.11
2000,Крым,
2000,Курганская область,56.21
2000,Курская область,60.51
2000,Ленинградская область,66.31
2000,Липецкая область,63.98
2000,Магаданская область,90.79
2000,Марий Эл,63.09
2000,Мордовия,59.35
2000,Москва,100.0
2000,Московская область,79.5
2000,Мурманская область,92.22
2000,Ненецкий автономный округ,62.15
2000,Нижегородская область,77.86
2000,Новгородская область,69.52
2000,Новосибирская область,74.63
2000,Омская область,68.19
2000,Оренбургская область,57.54
2000,Орловская область,63.0
2000,Пензенская область,64.6
2000,Пермский край,75.6
2000,Приморский край,77.71
2000,Псковская область,65.38
2000,Республика Алтай,25.76
2000,Республика Коми,75.46
2000,Республика Тыва,49.8
2000,Ростовская область,67.61
2000,Рязанская область,68.24
2000,Самарская область,80.53
2000,Санкт-Петербург,100.0
2000,Саратовская область,73.23
2000,Сахалинская область,86.49
2000,Свердловская область,87.74
2000,Севастополь,
2000,Северная Осетия,66.79
2000,Смоленская область,70.24
2000,Ставропольский край,55.9
2000,Тамбовская область,57.13
2000,Татарстан,73.59
2000,Тверская область,72.6
2000,Томская область,67.06
2000,Тульская область,81.32
2000,Тюменская область,76.86
2000,Удмуртия,69.56
2000,Ульяновская область,72.88
2000,Хабаровский край,80.59
2000,Хакасия,70.95
2000,Ханты-Мансийский автономный округ,91.09
2000,Челябинская область,81.5
2000,Чечня,35.7
2000,Чувашия,60.2
2000,Чукотский автономный округ,66.96
2000,Якутия,64.0
2000,Ямало-Ненецкий автономный округ,83.3
2000,Ярославская область,80.44
2001,Адыгея,52.79
2001,Алтайский край,52.8
2001,Амурская область,66.63
2001,Архангельская область,74.92
2001,Астраханская область,67.93
2001,Башкортостан,64.07
2001,Белгородская область,65.17
2001,Брянская область,68.6
2001,Бурятия,59.83
2001,Владимирская область,79.8
2001,Волгоградская область,74.93
2001,Вологодская область,68.76
2001,Воронежская область,61.58
2001,Дагестан,42.42
2001,Еврейская автономная область,67.04
2001,Забайкальский край,63.65
2001,Ивановская область,82.53
2001,Ингушетия,42.64
2001,Иркутская область,79.32
2001,Кабардино-Балкария,56.57
2001,Калининградская область,77.57
2001,Калмыкия,42.95
2001,Калужская область,74.41
2001,Камчатский край,80.96
2001,Карачаево-Черкесия,43.86
2001,Карелия,74.47
2001,Кемеровская область,86.52
2001,Кировская область,71.24
2001,Костромская область,66.82
2001,Краснодарский край,53.52
2001,Красноярский край,75.35
2001,Крым,
2001,Курганская область,56.29
2001,Курская область,60.78
2001,Ленинградская область,66.33
2001,Липецкая область,64.09
2001,Магаданская область,91.44
2001,Марий Эл,62.89
2001,Мордовия,59.58
2001,Москва,100.0
2001,Московская область,79.49
2001,Мурманская область,92.27
2001,Ненецкий автономный округ,62.33
2001,Нижегородская область,77.95
2001,Новгородская область,69.61
2001,Новосибирская область,74.76
2001,Омская область,68.34
2001,Оренбургская область,57.51
2001,Орловская область,63.17
2001,Пензенская область,64.77
